Block	Density	Rep	Life	Sex	Length	Status
A	High	1	5	M	2.93	1
A	High	1	89	M	3.34	1
A	High	1	79	M	3.04	1
A	High	1	79	M	3.53	1
A	High	1	51	M	3.58	1
A	High	1	65	M	4.14	1
A	High	1	91	M	3.38	1
A	High	1	61	M	3.86	1
A	High	1	82	M	3.26	1
A	High	1	49	M	3.41	1
A	High	1	77	M	3.16	1
A	High	1	47	M	3.66	1
A	High	1	44	M	4.2	1
A	High	1	54	M	3.96	1
A	High	1	61	M	3.14	1
A	High	1	40	M	3.96	1
A	High	1	65	M	3.53	1
A	High	1	58	F	3.24	1
A	High	1	63	F	3.96	1
A	High	1	68	F	3.77	1
A	High	1	68	F	3.69	1
A	High	1	58	F	3.72	1
A	High	1	72	F	2.9	1
A	High	1	58	F	3.32	1
A	High	1	79	F	3.46	1
A	High	1	5	F	2.41	1
A	High	1	40	F	2.94	1
A	High	1	65	F	3.37	1
A	High	1	65	F	2.95	1
A	High	1	51	F	4	1
A	High	1	58	F	3.49	1
A	High	1	61	F	3.43	1
A	High	1	61	F	3.54	1
A	High	1	65	F	3.88	1
A	High	1	68	F	3.74	1
A	High	1	44	F	3.9	1
A	High	2	58	M	3.84	1
A	High	2	86	M	2.9	1
A	High	2	54	M	3.52	1
A	High	2	77	M	3.57	1
A	High	2	44	M	3.45	1
A	High	2	44	M	3.79	1
A	High	2	44	M	3.49	1
A	High	2	51	M	3.48	1
A	High	2	61	M	3.88	1
A	High	2	54	M	4.07	1
A	High	2	77	F	3.62	1
A	High	2	56	F	3.43	1
A	High	2	61	F	3.68	1
A	High	2	51	F	3.06	1
A	High	2	44	F	3.29	1
A	High	2	12	F	3.57	1
A	High	2	58	F	3.37	1
A	High	2	72	F	3.52	1
A	High	2	56	F	3.77	1
A	High	2	47	F	3.98	1
A	High	2	58	M	3.9	1
A	High	2	44	M	4.04	1
A	High	2	61	M	3.65	1
A	High	2	54	M	3.93	1
A	High	2	91	M	NA	0
A	High	2	54	M	3.87	1
A	High	2	58	M	4.39	1
A	High	2	58	F	3.95	1
A	High	2	91	F	NA	0
A	High	2	51	F	3.91	1
A	High	2	54	F	2.84	1
A	High	2	44	F	4.09	1
A	High	2	54	F	3.84	1
A	High	2	44	F	3.63	1
A	High	2	44	F	4.02	1
A	High	2	61	F	3.65	1
A	High	2	58	F	4.04	1
A	Med	1	47	M	4.4	1
A	Med	1	61	M	3.94	1
A	Med	1	70	M	4.07	1
A	Med	1	51	M	4.06	1
A	Med	1	68	M	4.23	1
A	Med	1	54	M	4.29	1
A	Med	1	65	F	3.85	1
A	Med	1	58	F	3.92	1
A	Med	1	54	F	3.74	1
A	Med	1	51	F	3.71	1
A	Med	1	65	F	4.24	1
A	Med	1	65	F	4.02	1
A	Med	1	63	F	4.05	1
A	Med	1	33	F	4.23	1
A	Med	1	61	F	3.93	1
A	Med	2	47	M	3.99	1
A	Med	2	58	M	4.02	1
A	Med	2	63	M	4	1
A	Med	2	51	M	3.13	1
A	Med	2	44	M	4.13	1
A	Med	2	68	M	3.66	1
A	Med	2	82	M	4.19	1
A	Med	2	54	M	4.02	1
A	Med	2	47	F	4.25	1
A	Med	2	47	F	4.24	1
A	Med	2	82	F	4.18	1
A	Med	2	61	F	4.16	1
A	Med	2	30	F	3.49	1
A	Med	2	89	F	4.16	1
A	Med	2	65	F	3.94	1
A	Med	2	47	F	4.13	1
A	Med	2	68	F	3.84	1
A	Med	2	63	F	4.14	1
A	Med	2	56	F	4.38	1
A	Med	2	54	F	4.22	1
A	Med	2	75	F	4.16	1
A	Med	3	47	M	3.96	1
A	Med	3	61	M	3.83	1
A	Med	3	79	M	3.95	1
A	Med	3	72	M	3.96	1
A	Med	3	49	M	4.12	1
A	Med	3	91	M	3.89	1
A	Med	3	65	M	3.56	1
A	Med	3	91	M	NA	0
A	Med	3	72	M	3.9	1
A	Med	3	51	F	3.73	1
A	Med	3	51	F	3.81	1
A	Med	3	47	F	3.88	1
A	Med	3	82	F	3.09	1
A	Med	3	47	F	4.1	1
A	Med	3	65	F	4.03	1
A	Med	3	72	F	4.07	1
A	Med	3	91	F	NA	0
A	Med	3	82	F	3.8	1
A	Med	3	49	F	4.01	1
A	Med	4	49	M	4.36	1
A	Med	4	65	M	3.66	1
A	Med	4	68	M	3.71	1
A	Med	4	51	M	4.02	1
A	Med	4	58	M	3.76	1
A	Med	4	68	M	4.14	1
A	Med	4	91	M	4.17	1
A	Med	4	70	M	4.18	1
A	Med	4	58	F	3.87	1
A	Med	4	56	F	3.78	1
A	Med	4	44	F	3.61	1
A	Med	4	54	F	4.22	1
A	Med	4	49	F	3.69	1
A	Med	4	44	F	4.09	1
A	Med	4	58	F	4.1	1
A	Med	4	54	F	3.66	1
A	Med	4	84	F	3.98	1
A	Med	4	58	F	3.91	1
