Block,Density,Rep,LifeSpan,Sex,Width,Length,Status,,
A,High,1,5,M,3.67,2.93,1,,
A,High,1,89,M,4.31,3.34,1,,
A,High,1,79,M,3.8,3.04,1,,
A,High,1,79,M,4.46,3.53,1,,
A,High,1,51,M,4.57,3.58,1,,
A,High,1,65,M,5.05,4.14,1,,
A,High,1,91,M,4.41,3.38,1,,
A,High,1,61,M,5.05,3.86,1,,
A,High,1,82,M,4.18,3.26,1,,
A,High,1,49,M,4.3,3.41,1,,
A,High,1,77,M,4.05,3.16,1,,
A,High,1,47,M,4.78,3.66,1,,
A,High,1,44,M,5.29,4.2,1,,
A,High,1,54,M,5.17,3.96,1,,
A,High,1,61,M,4.97,3.14,1,,
A,High,1,40,M,5.16,3.96,1,,
A,High,1,65,M,4.58,3.53,1,,
A,High,1,58,F,4.03,3.24,1,,
A,High,1,63,F,4.98,3.96,1,,
A,High,1,68,F,4.56,3.77,1,,
A,High,1,68,F,4.8,3.69,1,,
A,High,1,58,F,4.86,3.72,1,,
A,High,1,72,F,3.66,2.9,1,,
A,High,1,58,F,4.3,3.32,1,,
A,High,1,79,F,4.48,3.46,1,,
A,High,1,5,F,3.24,2.41,1,,
A,High,1,40,F,3.75,2.94,1,,
A,High,1,65,F,4.4,3.37,1,,
A,High,1,65,F,3.46,2.95,1,,
A,High,1,51,F,5.11,4,1,,
A,High,1,58,F,4.43,3.49,1,,
A,High,1,61,F,4.28,3.43,1,,
A,High,1,61,F,4.76,3.54,1,,
A,High,1,65,F,4.96,3.88,1,,
A,High,1,68,F,4.96,3.74,1,,
A,High,1,44,F,5.06,3.9,1,,
A,High,2,58,M,4.95,3.84,1,,
A,High,2,86,M,3.67,2.9,1,,
A,High,2,54,M,4.41,3.52,1,,
A,High,2,77,M,4.67,3.57,1,,
A,High,2,44,M,4.36,3.45,1,,
A,High,2,44,M,5.05,3.79,1,,
A,High,2,44,M,4.42,3.49,1,,
A,High,2,51,M,4.6,3.48,1,,
A,High,2,61,M,5.17,3.88,1,,
A,High,2,54,M,5.21,4.07,1,,
A,High,2,77,F,4.59,3.62,1,,
A,High,2,56,F,4.49,3.43,1,,
A,High,2,61,F,4.74,3.68,1,,
A,High,2,51,F,3.84,3.06,1,,
A,High,2,44,F,4.02,3.29,1,,
A,High,2,12,F,4.42,3.57,1,,
A,High,2,58,F,4.35,3.37,1,,
A,High,2,72,F,4.49,3.52,1,,
A,High,2,56,F,4.74,3.77,1,,
A,High,2,47,F,3.77,3.98,1,,
A,High,2,58,M,5.05,3.9,1,,
A,High,2,44,M,5.24,4.04,1,,
A,High,2,61,M,4.59,3.65,1,,
A,High,2,54,M,5.17,3.93,1,,
A,High,2,93,M,4.5,3.44,1,,
A,High,2,54,M,4.99,3.87,1,,
A,High,2,58,M,5.21,4.39,1,,
A,High,2,58,F,5.42,3.95,1,,
A,High,2,93,F,5.06,3.9,1,,
A,High,2,51,F,5.07,3.91,1,,
A,High,2,54,F,3.85,2.84,1,,
A,High,2,44,F,5.11,4.09,1,,
A,High,2,54,F,4.99,3.84,1,,
A,High,2,44,F,4.65,3.63,1,,
A,High,2,44,F,5.24,4.02,1,,
A,High,2,61,F,4.65,3.65,1,,
A,High,2,58,F,5.09,4.04,1,,
A,Med,1,47,M,5.83,4.4,1,,
A,Med,1,61,M,4.89,3.94,1,,
A,Med,1,70,M,5.29,4.07,1,,
A,Med,1,51,M,5.17,4.06,1,,
A,Med,1,68,M,5.55,4.23,1,,
A,Med,1,54,M,5.31,4.29,1,,
A,Med,1,65,F,4.88,3.85,1,,
A,Med,1,58,F,5.04,3.92,1,,
