Block	Density	Rep	Life	Sex	Length	Status			
1	High	1	5	M	2.93	1			
1	High	1	NA	NA	NA	0			
1	High	1	NA	NA	NA	0			
1	High	1	NA	NA	NA	0			
1	High	1	51	M	3.58	1			
1	High	1	65	M	4.14	1			
1	High	1	NA	NA	NA	0			
1	High	1	61	M	3.86	1			
1	High	1	NA	NA	NA	0			
1	High	1	49	M	3.41	1			
1	High	1	NA	NA	NA	0			
1	High	1	47	M	3.66	1			
1	High	1	44	M	4.2	1			
1	High	1	54	M	3.96	1			
1	High	1	61	M	3.14	1			
1	High	1	40	M	3.96	1			
1	High	1	65	M	3.53	1			
1	High	1	58	F	3.24	1			
1	High	1	63	F	3.96	1			
1	High	1	68	F	3.77	1			
1	High	1	68	F	3.69	1			
1	High	1	58	F	3.72	1			
1	High	1	72	F	2.9	1			
1	High	1	58	F	3.32	1			
1	High	1	NA	NA	NA	0			
1	High	1	5	F	2.41	1			
1	High	1	40	F	2.94	1			
1	High	1	65	F	3.37	1			
1	High	1	65	F	2.95	1			
1	High	1	51	F	4	1			
1	High	1	58	F	3.49	1			
1	High	1	61	F	3.43	1			
1	High	1	61	F	3.54	1			
1	High	1	65	F	3.88	1			
1	High	1	68	F	3.74	1			
1	High	1	44	F	3.9	1			
1	High	2	58	M	3.84	1			
1	High	2	NA	NA	NA	0			
1	High	2	54	M	3.52	1			
1	High	2	NA	NA	NA	0			
1	High	2	44	M	3.45	1			
1	High	2	44	M	3.79	1			
1	High	2	44	M	3.49	1			
1	High	2	51	M	3.48	1			
1	High	2	61	M	3.88	1			
1	High	2	54	M	4.07	1			
1	High	2	NA	NA	NA	0			
1	High	2	56	F	3.43	1			
1	High	2	61	F	3.68	1			
1	High	2	51	F	3.06	1			
1	High	2	44	F	3.29	1			
1	High	2	12	F	3.57	1			
1	High	2	58	F	3.37	1			
1	High	2	72	F	3.52	1			
1	High	2	56	F	3.77	1			
1	High	2	47	F	3.98	1			
1	High	2	58	M	3.9	1			
1	High	2	44	M	4.04	1			
1	High	2	61	M	3.65	1			
1	High	2	54	M	3.93	1			
1	High	2	NA	NA	NA	0			
1	High	2	54	M	3.87	1			
1	High	2	58	M	4.39	1			
1	High	2	58	F	3.95	1			
1	High	2	NA	NA	NA	0			
1	High	2	51	F	3.91	1			
1	High	2	54	F	2.84	1			
1	High	2	44	F	4.09	1			
1	High	2	54	F	3.84	1			
1	High	2	44	F	3.63	1			
1	High	2	44	F	4.02	1			
1	High	2	61	F	3.65	1			
1	High	2	58	F	4.04	1			
1	Med	1	47	M	4.4	1			
1	Med	1	61	M	3.94	1			
1	Med	1	70	M	4.07	1			
1	Med	1	51	M	4.06	1			
1	Med	1	68	M	4.23	1			
1	Med	1	54	M	4.29	1			
1	Med	1	65	F	3.85	1			
1	Med	1	58	F	3.92	1			
1	Med	1	54	F	3.74	1			
1	Med	1	51	F	3.71	1			
1	Med	1	65	F	4.24	1			
1	Med	1	65	F	4.02	1			
1	Med	1	63	F	4.05	1			
1	Med	1	33	F	4.23	1			
1	Med	1	61	F	3.93	1			
1	Med	2	47	M	3.99	1			
1	Med	2	58	M	4.02	1			
1	Med	2	63	M	4	1			
1	Med	2	51	M	3.13	1			
1	Med	2	44	M	4.13	1			
1	Med	2	68	M	3.66	1			
1	Med	2	NA	NA	NA	0			
1	Med	2	54	M	4.02	1			
1	Med	2	47	F	4.25	1			
1	Med	2	47	F	4.24	1			
1	Med	2	NA	NA	NA	0			
1	Med	2	61	F	4.16	1			
1	Med	2	30	F	3.49	1			
1	Med	2	NA	NA	NA	0			
1	Med	2	65	F	3.94	1			
1	Med	2	47	F	4.13	1			
1	Med	2	68	F	3.84	1			
1	Med	2	63	F	4.14	1			
1	Med	2	56	F	4.38	1			
1	Med	2	54	F	4.22	1			
1	Med	2	75	F	4.16	1			
1	Med	3	47	M	3.96	1			
1	Med	3	61	M	3.83	1			
1	Med	3	NA	NA	NA	0			
1	Med	3	72	M	3.96	1			
1	Med	3	49	M	4.12	1			
1	Med	3	NA	NA	NA	0			
1	Med	3	65	M	3.56	1			
1	Med	3	NA	NA	NA	0			
1	Med	3	72	M	3.9	1			
1	Med	3	51	F	3.73	1			
1	Med	3	51	F	3.81	1			
1	Med	3	47	F	3.88	1			
1	Med	3	NA	NA	NA	0			
1	Med	3	47	F	4.1	1			
1	Med	3	65	F	4.03	1			
1	Med	3	72	F	4.07	1			
1	Med	3	NA	NA	NA	0			
1	Med	3	NA	NA	NA	0			
1	Med	3	NA	NA	NA	0			
1	Med	4	49	M	4.36	1			
1	Med	4	65	M	3.66	1			
1	Med	4	68	M	3.71	1			
1	Med	4	51	M	4.02	1			
1	Med	4	58	M	3.76	1			
1	Med	4	68	M	4.14	1			
1	Med	4	NA	NA	NA	0			
1	Med	4	70	M	4.18	1			
1	Med	4	58	F	3.87	1			
1	Med	4	56	F	3.78	1			
1	Med	4	44	F	3.61	1			
1	Med	4	54	F	4.22	1			
1	Med	4	49	F	3.69	1			
1	Med	4	44	F	4.09	1			
1	Med	4	58	F	4.1	1			
1	Med	4	54	F	3.66	1			
1	Med	4	NA	NA	NA	0			
1	Med	4	58	F	3.91	1			
1	Med	4	58	F	4.01	1			
1	Med	5	56	M	3.91	1			
1	Med	5	44	M	4.14	1			
1	Med	5	44	M	3.49	1			
1	Med	5	63	M	3.03	1			
1	Med	5	NA	NA	NA	0			
1	Med	5	33	M	3.72	1			
1	Med	5	37	M	4.36	1			
1	Med	5	58	F	2.86	1			
1	Med	5	5	F	2.41	1			
1	Med	5	68	F	4.12	1			
1	Med	5	58	F	3.06	1			
1	Med	5	44	F	2.92	1			
1	Med	5	58	F	3.28	1			
1	Med	5	44	F	3.53	1			
1	Med	5	NA	NA	NA	0			
1	Med	5	61	F	4.11	1			
1	Med	5	37	F	3.89	1			
1	Med	5	65	F	3.22	1			
1	Med	6	44	M	4.13	1			
1	Med	6	47	M	3.97	1			
1	Med	6	NA	NA	NA	0			
1	Med	6	65	M	3.89	1			
1	Med	6	54	M	4.03	1			
1	Med	6	51	M	4.33	1			
