Block	Density	Rep	Life	Sex	Length	
1	50	1	5	M	2.93	
1	50	1	NA	NA	NA	
1	50	1	NA	NA	NA	
1	50	1	NA	NA	NA	
1	50	1	51	M	3.58	
1	50	1	65	M	4.14	
1	50	1	NA	NA	NA	
1	50	1	61	M	3.86	
1	50	1	NA	NA	NA	
1	50	1	49	M	3.41	
1	50	1	NA	NA	NA	
1	50	1	47	M	3.66	
1	50	1	44	M	4.2	
1	50	1	54	M	3.96	
1	50	1	61	M	3.14	
1	50	1	40	M	3.96	
1	50	1	65	M	3.53	
1	50	1	58	F	3.24	
1	50	1	63	F	3.96	
1	50	1	68	F	3.77	
1	50	1	68	F	3.69	
1	50	1	58	F	3.72	
1	50	1	72	F	2.9	
1	50	1	58	F	3.32	
1	50	1	NA	NA	NA	
1	50	1	5	F	2.41	
1	50	1	40	F	2.94	
1	50	1	65	F	3.37	
1	50	1	65	F	2.95	
1	50	1	51	F	4	
1	50	1	58	F	3.49	
1	50	1	61	F	3.43	
1	50	1	61	F	3.54	
1	50	1	65	F	3.88	
1	50	1	68	F	3.74	
1	50	1	44	F	3.9	
1	50	2	58	M	3.84	
1	50	2	NA	NA	NA	
1	50	2	54	M	3.52	
1	50	2	NA	NA	NA	
1	50	2	44	M	3.45	
1	50	2	44	M	3.79	
1	50	2	44	M	3.49	
1	50	2	51	M	3.48	
1	50	2	61	M	3.88	
1	50	2	54	M	4.07	
1	50	2	NA	NA	NA	
1	50	2	56	F	3.43	
1	50	2	61	F	3.68	
1	50	2	51	F	3.06	
1	50	2	44	F	3.29	
1	50	2	12	F	3.57	
1	50	2	58	F	3.37	
1	50	2	72	F	3.52	
1	50	2	56	F	3.77	
1	50	2	47	F	3.98	
1	50	2	58	M	3.9	
1	50	2	44	M	4.04	
1	50	2	61	M	3.65	
1	50	2	54	M	3.93	
1	50	2	NA	NA	NA	
1	50	2	54	M	3.87	
1	50	2	58	M	4.39	
1	50	2	58	F	3.95	
1	50	2	NA	NA	NA	
1	50	2	51	F	3.91	
1	50	2	54	F	2.84	
1	50	2	44	F	4.09	
1	50	2	54	F	3.84	
1	50	2	44	F	3.63	
1	50	2	44	F	4.02	
1	50	2	61	F	3.65	
1	50	2	58	F	4.04	
1	20	1	47	M	4.4	
1	20	1	61	M	3.94	
1	20	1	70	M	4.07	
1	20	1	51	M	4.06	
1	20	1	68	M	4.23	
1	20	1	54	M	4.29	
1	20	1	65	F	3.85	
1	20	1	58	F	3.92	
1	20	1	54	F	3.74	
1	20	1	51	F	3.71	
1	20	1	65	F	4.24	
1	20	1	65	F	4.02	
1	20	1	63	F	4.05	
1	20	1	33	F	4.23	
1	20	1	61	F	3.93	
1	20	2	47	M	3.99	
1	20	2	58	M	4.02	
1	20	2	63	M	4	
1	20	2	51	M	3.13	
1	20	2	44	M	4.13	
1	20	2	68	M	3.66	
1	20	2	NA	NA	NA	
1	20	2	54	M	4.02	
1	20	2	47	F	4.25	
1	20	2	47	F	4.24	
1	20	2	NA	NA	NA	
1	20	2	61	F	4.16	
1	20	2	30	F	3.49	
1	20	2	NA	NA	NA	
